schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
EVTOPTA00004;Finally, back to conservatism.;;;;;;;;;;;;;
EVTNAME00005;The Death of Carlos of Madrid;;;;;;;;;;;;;
EVTDESC00005;\n\nCarlos_VII,_Duke_of_Madrid_and_King_of_Spain,_has_died_on_this_day._His_procession_is_one_of_controversy,_seen_to_some_as_a_return_to_proper_conservatism_and_a_reaffirming_of_the_Fueros_and_their_privilege,_and_to_others_as_a_categorical_failure,_and_a_return_to_the_reactionary_politics_so_indicative_of_the_Carlist_cause._Nonetheless,_he_shall_be_followed_by_Jaime,_who_inherits_both_the_duchy_of_Madrid_and_the_kingdom_of_Spain,_to_be_titled_Jaime_III.;;;;;;;;;;;;;
EVTOPTA00005;Time for a more moderate candidate.;;;;;;;;;;;;;
EVTNAME00006;The Death of Jaime III;;;;;;;;;;;;;
EVTDESC00006;\n\nJaime_III,_king_of_Spain,_has_died_today._His_procession_is_one_of_little_controversy_or_event,_being_one_of_a_moderate,_quiet-spoken_monarch_who_will_be_remembered_for_little,_praised_for_little,_and_hated_for_little._He_shall_be_followed_by_Alfonso_Carlos,_Duke_of_San_Jaime,_coronated_as_Alfonso_I.;;;;;;;;;;;;;
EVTOPTA00006;Hopefully he wont preside over any major civil conflicts.;;;;;;;;;;;;;
EVTNAME00007;The Portuguese Crisis;;;;;;;;;;;;;
EVTDESC00007;\n\nMiguel_I,_rightful_king_of_Portugal_and_longtime_supporter_of_the_Carlist_cause_in_Spain,_has_been_ousted_from_his_seat_of_power_in_Portugal,_leaving_a_liberal_government_to_take_power_in_his_stead._This_proves_to_be_an_existential_threat_to_the_cause_of_Carlos_V,_as_the_now-liberal_Portuguese_government_may_well_prove_to_be_a_threat_to_the_legitimacy_of_his_own_throne._Miguel_has_come_to_the_Spanish_for_aid,_and_to_support_him_could_well_be_to_bring_about_a_valuable_alliance_with_the_other_major_Iberian_state,_perhaps_even_to_restore_the_personal_union_of_times'_past.;;;;;;;;;;;;;
EVTOPTA00007;We shall restore order to Portugal. §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTB00007;We have our own problems.;;;;;;;;;;;;;
EVTNAME00008;The Restoration of Miguel I;;;;;;;;;;;;;
EVTDESC00008;\n\nMiguel,_the_absolutist_king_of_Portugal,_has_been_returned_to_the_throne_he_usurped_from_the_prior_royal_family,_and_the_throne_he_was_forced_to_abdicate_upon_the_success_of_the_liberal_revolts_only_a_short_while_ago._At_the_behest_of_Carlos_V,_he_proceeds_to_the_throne_of_Portugal_once_again,_and_Spain_is_now_at_its_liberty_to_decide_how_to_restructure_the_Portuguese_government.;;;;;;;;;;;;;
EVTOPTA00008;Restore the king's rule and do nothing more. §GLose 5 infamy§W;;;;;;;;;;;;;
EVTOPTB00008;Seize Portuguese colonies as repayment. §RGain 10 infamy§W;;;;;;;;;;;;;
EVTOPTC00008;Render Miguel I subservient. Permanently. §RGain 20 infamy§W;;;;;;;;;;;;;
EVTNAME00009;The Second Coronation of Miguel I;;;;;;;;;;;;;
EVTDESC00009;\n\nMiguel_I,_the_tyrant_usurper_king_of_Portugal,_has_been_restored_to_his_stolen_throne_at_the_head_of_Portugal._Fears_of_Spanish_reprisals_have_proven,_thankfully,_to_be_largely_unfounded._This_does_not_prevent_or_protect_the_people_from_his_own_reprisals,_however._His_reign_remains_unpopular,_and_shaken_greatly_by_this_incident,_but_hope_remains_that_one_day_Portugal_can_return_to_some_semblance_of_its_prior_stability_and_standing_on_the_world_stage.;;;;;;;;;;;;;
EVTOPTA00009;Short may his reign be.;;;;;;;;;;;;;
EVTNAME00010;The Quiet Ceremony;;;;;;;;;;;;;
EVTDESC00010;\n\nMiguel_I,_reactionary_tyrant_king_of_Portugal,_has_been_returned_to_his_throne._The_ceremony_was_documented_as_being_nearly_entirely_silent,_even_his_present_supporters_being_solemn_in_the_knowledge_of_what_Portugal_lost_in_the_face_of_this._Spain_has_seized_control_over_the_colonial_holdings_of_the_former_Portuguese_empire,_and_while_the_independence_of_Portugal_itself_remains_intact,_this_remains_the_death-knell_of_its_relevance_on_the_world_stage._Little_hope_remains_for_Portugal_to_regain_its_prior_status,_but_perhaps_it_can_claim_its_place_in_the_sun_in_some_other_manner.;;;;;;;;;;;;;
EVTOPTA00010;The sun has set by his folly.;;;;;;;;;;;;;
EVTNAME00011;The Duchy of Portugal;;;;;;;;;;;;;
EVTDESC00011;\n\nMiguel_I,_king_of_Portugal,_has_been_returned_to_his_country_by_force_of_Spanish_arms._He_has_not_ascended_as_king,_this_time,_but_has_been_deposed_by_not_only_liberals,_but_by_Carlos_V_of_Spain_himself._The_Kingdom_of_Portugal_has_been_dissolved_in_its_entirety,_and_its_colonies_seized_by_the_greedy_Spanish_crown._In_the_place_of_the_king_now_lies_a_lowly_Duke,_appointed_by_the_Spanish_monarch_at_his_whim,_and_wholly_subservient_to_the_interests_of_the_foreign_crown._Miguel_has_returned_in_shame,_and_it_is_unlikely_Portugal_shall_ever_recover_from_this_devastation._Miguel_returns_as_the_last_king,_and_as_the_first_Duke.;;;;;;;;;;;;;
EVTOPTA00011;A king no more.;;;;;;;;;;;;;
EVTNAME00016;The Fueros Debate - Carlos of Molina;;;;;;;;;;;;;
EVTDESC00016;\n\nThe_issue_of_the_Fueros_is_one_of_great_contention_amongst_the_peoples_of_the_Kingdom_of_Spain,_and_the_root_of_the_divide_between_the_Carlists_and_the_Christinos._While_the_Christinos_sought_the_devolution_and_assimilation_of_the_fueros_into_the_Spanish_crown,_the_root_of_the_Carlist_movement_seeks_to_protect_the_regional_legal_systems_and_minority_rights_indicative_of_the_fueros_system._With_the_success_of_Carlos_V_in_asserting_his_claim_to_the_Spanish_throne,_the_issue_of_the_Fueros_has_been_put_aside,_for_now,_and_the_fueros_will_maintain_their_autonomy.;;;;;;;;;;;;;
EVTOPTA00016;Their autonomy is secure.;;;;;;;;;;;;;
EVTNAME00017;The Fueros Debate - Carlos VI;;;;;;;;;;;;;
EVTDESC00017;\n\nWith_the_ascension_of_a_new_monarch_to_the_Spanish_throne_comes_a_renewal_of_the_fueros_debate_in_the_Spanish_nation._A_traditionalist_at_heart,_much_like_his_predecessor,_he_seeks_to_elevate_the_fueros_and_bring_them_to_par_with_the_rest_of_the_Spanish_country._To_accomplish_this,_a_legal_reform_program_has_been_pushed_forwards_by_the_crown_to_achieve_this_end._It_has_proven_more_than_popular_amongst_the_catalan_and_basque_peoples,_but_has_itself_become_a_controversy_in_the_Castilian_portion_of_the_kingdom._The_reform_package_seeks_to_modernize_and_codify_the_fueros_further_in_Spanish_law,_trimming_their_long_list_of_priveleges_of_unnecessary_and_archaic_legal_structures,_while_solidifying_their_status_and_rendering_them_all_but_immutable_in_the_Spanish_crown._As_such,_this_reform_will_greatly_increase_the_militancy_of_liberals_across_the_kingdom_who_seek_the_abolishment_of_the_fueros_outright,_while_rendering_the_fueros_themselves_more_efficient_in_their_governance.;;;;;;;;;;;;;
EVTOPTA00017;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTB00017;There is no need to reform them now.;;;;;;;;;;;;;
EVTNAME00018;Carlos VI's Plan;;;;;;;;;;;;;
EVTDESC00018;\n\nWith_the_first_stage_of_the_reform_package_set_through,_the_king's_full_ambition_is_becoming_apparent_-_a_total_reform_of_the_monarchial_structure_of_Spain,_integrating_the_fueros_as_an_established_legal_structure_throughout_the_Spanish_nation,_and_codifying_their_existence_as_integral_to_Spain._To_accomplish_this,_each_Fuero_will_be_reorganized_into_separate_crownlands,_held_as_a_personal_demesne_of_the_king,_but_fully_integrated_under_the_crown_of_Spain._This_places_the_Basque,_Catalan,_and_Galician_regions_under_direct_Carlist_rule,_irrespective_of_the_legislature_in_Madrid._In_turn,_trade_restrictions_and_customs_borders_will_be_devolved_between_the_crownlands_and_the_rest_of_the_country,_whereas_the_rights_of_Catalans_and_Basques_to_organize_their_own_military_and_govern_their_own_lands_remain_intact_indefinitely._In_effect,_this_reform_package_sees_a_potential_solution_to_the_Fueros_debate_altogether,_but_will_further_anger_the_liberals,_perhaps_to_the_point_of_revolution._The_reform_scheme_is_held_as_overly_ambitious_even_among_some_Carlists._§RWill_result_in_a_revolt§W;;;;;;;;;;;;;
EVTOPTA00018;To hell with the opposition- pass it.;;;;;;;;;;;;;
EVTOPTB00018;The reform has gone far enough.;;;;;;;;;;;;;
EVTNAME00019;Assassination Attempt on Carlos VI;;;;;;;;;;;;;
EVTDESC00019;\n\nIt_has_been_no_secret_that_Carlos_VI's_reforms_have_been_of_immense_controversy_in_the_past_few_weeks,_particularly_among_the_people_centering_around_Madrid,_many_of_whom_have_flocked_to_the_liberal_Christino_banners_in_reaction_to_what_they_perceive_as_a_betrayal_of_Spanish_interests_in_the_interest_of_minorities_that_they_see_as_rightfully_subservient._This_unrest_has_hit_a_recent_high_pitch_with_an_attempted_assassination_of_the_king_as_he_was_on_a_street_parade_in_Madrid._A_gunman_attempted_to_fire_upon_him,_only_narrowly_missing_before_police_dispatched_and_disarmed_the_man._It_appears_that_even_within_the_heartland_of_Spain,_the_king_does_not_remain_safe._This_does_not_bode_well_for_if_the_reforms_are_expanded_upon,_as_he_plans.;;;;;;;;;;;;;
EVTOPTA00019;The fires of revolution are stoked.;;;;;;;;;;;;;
EVTNAME00020;The Flames of Liberalism;;;;;;;;;;;;;
EVTDESC00020;\n\nCarlos_VI_has_been_nothing_short_of_controversial_since_before_he_ever_ascended_the_throne,_as_could_be_said_for_any_Spanish_monarchs_in_this_time._While_conservatives_and_traditionalists_find_the_Carlist_cause_to_be_a_banner_to_flock_to,_a_realm_of_continued_stability_in_the_face_of_the_tumultuous_reform_and_change_of_the_French_and_Portuguese,_and_a_beacon_for_restored_Spanish_prestige_in_a_modern_age,_the_liberals_see_it_as_a_counterrevolutionary_reaction,_an_outdated_regime_of_a_bygone_era._With_the_passage_of_the_reform_package_championed_by_the_king,_this_has_exploded_into_open_revolt_across_the_Castilian_countryside_in_reaction._While_the_unpopularity_of_these_measures_was_already_known,_it_has_quickly_become_apparent_that_the_reaction_is_far_more_dangerous_than_anticipated,_especially_as_the_calls_of_these_locals_have_turned_from_not_just_declarations_against_the_Carlists,_but_to_declarations_against_the_Spanish_monarchy_altogether._With_the_fires_of_this_revolution_stoked,_it_seems_likely_that_a_revolution_has_begun.;;;;;;;;;;;;;
EVTOPTA00020;The banners of war beckon.;;;;;;;;;;;;;
EVTNAME00021;Carlos VI Triumphant;;;;;;;;;;;;;
EVTDESC00021;\n\nCarlos_VI_has_emerged_triumphant_in_the_face_of_the_liberal_opposition_to_his_reforms,_and_yes,_to_his_rule._His_power_greatly_expanded_in_the_face_of_the_Liberal_defeat,_he_has_been_granted_full_power_to_enact_his_rule_over_all_of_Spain,_and_indeed,_to_not_only_expand_his_reforms_to_the_whole_of_the_country,_but_to_undo_what_reforms_the_Liberals_had_until_that_point_forced_onto_the_government._His_power_made_absolute,_Carlos_has_found_bearing_to_solidify_his_reign_in_a_manner_more_comprehensive_than_even_the_Ancien_Regime,_a_truly_modern_monarchy_led_benevolently_by_his_rule,_at_least_in_the_minds_of_some._Liberals_chafe_under_his_rule,_but_it_will_be_unlikely_that_they_will_pose_a_significant_threat_again_in_this_lifetime.;;;;;;;;;;;;;
EVTOPTA00021;The Kingdom of Spain stands strong!;;;;;;;;;;;;;
EVTNAME00022;The Liberal Triumph;;;;;;;;;;;;;
EVTDESC00022;\n\nIn_the_aftermath_of_the_Spanish_civil_war,_the_Carlist_usurpers_have_been_driven_from_the_throne_of_Spain,_and_in_their_place_a_liberal_republic_has_been_proclaimed,_ready_to_bring_about_a_restoration_of_liberty_to_the_Iberian_peninsula.;;;;;;;;;;;;;
EVTOPTA00022;The Republic has been victorious!;;;;;;;;;;;;;
EVTNAME00023;The Fueros Debate - Juan III;;;;;;;;;;;;;
EVTDESC00023;\n\nWith_the_ascension_of_Juan_III_to_the_Spanish_throne,_the_Fueros_debate_has_regrettably_taken_up_public_discourse_once_again._As_Carlos_VI_failed_to_bring_any_lasting_change_to_the_Fueros_situation,_the_debate_now_falls_into_the_hands_of_the_current_king_to_push_forwards_his_vision_for_what_shall_be_done._Unlike_prior_Carlist_claimants,_however,_his_views_have_controversially_followed_along_with_those_of_the_Christinos_in_many_regards,_and_as_such_he_views_the_Fueros_as_a_wholly_outdated_relic_of_a_feudal_past,_not_worth_reforming,_but_rather_total_abolishment._To_reach_these_ends,_he_is_pushing_forwards_a_reform_program_to_increase_the_efficiency_of_the_Fueros,_substantially_limiting_their_autonomy_and_reducing_their_legal_protections.;;;;;;;;;;;;;
EVTOPTA00023;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTB00023;No need.;;;;;;;;;;;;;
EVTNAME00024;Juan III's Proposal;;;;;;;;;;;;;
EVTDESC00024;\n\nWith_the_initial_passing_of_Juan_III's_reforms,_it_has_quickly_become_clear_that_his_actions_have_awoken_a_vehement_response_from_the_Basque_and_Catalan_minorities_of_the_kingdom._The_threatening_of_their_long-held_privelegia_is_widely_viewed_as_a_direct_violation_of_their_cultural_identities,_and_evidence_of_unrightful_Castilian_oppression_of_the_rest_of_the_Iberian_Peninsula._To_continue_with_these_reforms_will_no_doubt_result_in_a_falling-out_with_the_Basque_and_Catalan_minorities_altogether,_opening_a_rift_that_may_well_never_close_again.;;;;;;;;;;;;;
EVTOPTA00024;Their opposition means little. Abolish the Fueros.;;;;;;;;;;;;;
EVTOPTB00024;Enough with this madness.;;;;;;;;;;;;;
EVTNAME00025;Unrest in Catalonia and the Basque Country;;;;;;;;;;;;;
EVTDESC00025;\n\nWith_the_recent_reform_package_passed_by_Juan_III,_in_preparation_to_completely_abolish_the_fueros,_a_riot_has_broken_out_in_the_city_of_Barcelona_in_response_to_this_perceived_betrayal_by_the_Spanish_monarchy_that_has_sworn_to_uphold_the_rights_and_interests_of_the_fueros_since_its_onset,_and_has_now_begun_reducing_the_rights_of_these_communities_in_a_matter_irrespective_of_this_pledge._The_riot_bodes_ill_for_the_fate_of_relations_between_the_Spanish_and_the_Catalans_and_Basques,_should_the_reforms_continue.;;;;;;;;;;;;;
EVTOPTA00025;Can't they just Basque in the glory of Spain?;;;;;;;;;;;;;
EVTNAME00026;The Rise of Catalan and Basque Nationalism;;;;;;;;;;;;;
EVTDESC00026;\n\nWith_the_abolishing_of_the_fueros,_the_protections_for_the_minorities_of_Spain_have_been_abolished_by_the_central_government,_placing_them_fully_under_the_authority_of_Madrid's_wishes,_irrespective_of_what_these_groups_desire_for_themselves._In_response,_the_idea_of_nationhood_has_arisen_among_these_populations,_who_now_see_Spain_as_an_oppressive_foreign_entity,_and_not_representative_of_their_national_identities,_which_are_now_viewed_as_fundamentally_separate_from_that_of_Spain_itself._It_is_doubtful_that_this_rift_can_ever_be_closed_again_in_this_current_era.;;;;;;;;;;;;;
EVTOPTA00026;So it will be.;;;;;;;;;;;;;
EVTNAME00027;The Fueros Debate - Carlos VII;;;;;;;;;;;;;
EVTDESC00027;\n\nOn_the_ascension_of_Carlos_VII,_the_fueros_debate_has_come_up_once_again,_and_quite_possibly_for_the_last_time_in_this_era_of_history._By_this_point_the_Fueros_have_become,_even_in_Victorian_standards,_highly_established_in_society_at_large._Carlos_VII_is_a_Carlist_in_the_most_traditional_sense,_viewing_the_Fueros_as_an_integral_part_of_Spanish_society,_and_indeed,_not_well-respected_enough._As_such,_he_seeks_to_not_only_preserve,_but_expand_the_privelegia_of_the_fueros_into_full-scale_autonomy_and_confederalism,_devolving_Spanish_control_into_a_mere_rubber_stamp_for_their_own,_largely_independent_actions._To_accomplish_this,_the_king_has_pressed_forwards_a_reform_program_to_steadily_begin_increasing_their_autonomy_in_local_affairs.;;;;;;;;;;;;;
EVTOPTA00027;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTB00027;MORE autonomy? No.;;;;;;;;;;;;;
EVTNAME00028;Carlos VII's Solution;;;;;;;;;;;;;
EVTDESC00028;\n\nWith_the_increased_autonomy_granted_to_the_fueros_by_the_first_reforms,_Carlos_VII_has_pressed_forwards_a_reform_program_to_finally_evolve_the_Fueros_system_into_the_modern_era._His_scheme,_a_highly_controversial_plan,_involves_restoring_the_crown_of_Aragon_onto_the_European_world_stage_in_its_entirety,_effectively_devolving_the_Spanish_crown_once_again_into_its_composite_states_of_Castille_and_Aragon._This_concession,_a_full-scale_recognition_of_Catalan_and_Aragonese_statehood,_can_never_be_undone.;;;;;;;;;;;;;
EVTOPTA00028;True freedom at last.;;;;;;;;;;;;;
EVTOPTB00028;This is unnecessary. The Fueros will remain.;;;;;;;;;;;;;
EVTNAME00029;The Fueros Debate;;;;;;;;;;;;;
EVTDESC00029;\n\nAs_the_years_go_by_without_the_Fueros,_entrenched_old_feudal_privelegia_reminiscent_of_the_Ancien_Regime,_go_unreformed,_the_more_blatantly_it_is_made_clear_that_the_Spanish_crown_is_incapable_of_reforming_and_modernizing._(Each_decade_the_issue_goes_unresolved,_the_modifier_will_get_worse._Each_Fueros_reform_option_will_be_less_costly_than_the_last_in_the_short_term,_but_will_be_less_ideal_for_the_legal_structure_going_forwards);;;;;;;;;;;;;
EVTOPTA00029;We still have time.;;;;;;;;;;;;;
EVTNAME00030;The Fueros Debate;;;;;;;;;;;;;
EVTDESC00030;\n\nAs_the_years_go_by_without_the_Fueros,_entrenched_old_feudal_privelegia_reminiscent_of_the_Ancien_Regime,_go_unreformed,_the_more_blatantly_it_is_made_clear_that_the_Spanish_crown_is_incapable_of_reforming_and_modernizing._(Each_decade_the_issue_goes_unresolved,_the_modifier_will_get_worse._Each_Fueros_reform_option_will_be_less_costly_than_the_last_in_the_short_term,_but_will_be_less_ideal_for_the_legal_structure_going_forwards);;;;;;;;;;;;;
EVTOPTA00030;We still have time.;;;;;;;;;;;;;
EVTNAME00031;The Fueros Debate;;;;;;;;;;;;;
EVTDESC00031;\n\nAs_the_years_go_by_without_the_Fueros,_entrenched_old_feudal_privelegia_reminiscent_of_the_Ancien_Regime,_go_unreformed,_the_more_blatantly_it_is_made_clear_that_the_Spanish_crown_is_incapable_of_reforming_and_modernizing._(Each_decade_the_issue_goes_unresolved,_the_modifier_will_get_worse._Each_Fueros_reform_option_will_be_less_costly_than_the_last_in_the_short_term,_but_will_be_less_ideal_for_the_legal_structure_going_forwards);;;;;;;;;;;;;
EVTOPTA00031;We still have time.;;;;;;;;;;;;;
EVTNAME00032;The Fueros Debate;;;;;;;;;;;;;
EVTDESC00032;\n\nAs_the_years_go_by_without_the_Fueros,_entrenched_old_feudal_privelegia_reminiscent_of_the_Ancien_Regime,_go_unreformed,_the_more_blatantly_it_is_made_clear_that_the_Spanish_crown_is_incapable_of_reforming_and_modernizing._(Each_decade_the_issue_goes_unresolved,_the_modifier_will_get_worse._Each_Fueros_reform_option_will_be_less_costly_than_the_last_in_the_short_term,_but_will_be_less_ideal_for_the_legal_structure_going_forwards);;;;;;;;;;;;;
EVTOPTA00032;We still have time.;;;;;;;;;;;;;
EVTNAME00033;The Fueros Debate;;;;;;;;;;;;;
EVTDESC00033;\n\nAs_the_years_go_by_without_the_Fueros,_entrenched_old_feudal_privelegia_reminiscent_of_the_Ancien_Regime,_go_unreformed,_the_more_blatantly_it_is_made_clear_that_the_Spanish_crown_is_incapable_of_reforming_and_modernizing._(Each_decade_the_issue_goes_unresolved,_the_modifier_will_get_worse._Each_Fueros_reform_option_will_be_less_costly_than_the_last_in_the_short_term,_but_will_be_less_ideal_for_the_legal_structure_going_forwards);;;;;;;;;;;;;
EVTOPTA00033;We still have time.;;;;;;;;;;;;;
EVTNAME00034;The Fueros Debate;;;;;;;;;;;;;
EVTDESC00034;\n\nAs_the_years_go_by_without_the_Fueros,_entrenched_old_feudal_privelegia_reminiscent_of_the_Ancien_Regime,_go_unreformed,_the_more_blatantly_it_is_made_clear_that_the_Spanish_crown_is_incapable_of_reforming_and_modernizing._(Each_decade_the_issue_goes_unresolved,_the_modifier_will_get_worse._Each_Fueros_reform_option_will_be_less_costly_than_the_last_in_the_short_term,_but_will_be_less_ideal_for_the_legal_structure_going_forwards);;;;;;;;;;;;;
EVTOPTA00034;We still have time.;;;;;;;;;;;;;
EVTNAME00035;The Fueros Debate;;;;;;;;;;;;;
EVTDESC00035;\n\nAs_the_years_go_by_without_the_Fueros,_entrenched_old_feudal_privelegia_reminiscent_of_the_Ancien_Regime,_go_unreformed,_the_more_blatantly_it_is_made_clear_that_the_Spanish_crown_is_incapable_of_reforming_and_modernizing._(Each_decade_the_issue_goes_unresolved,_the_modifier_will_get_worse._Each_Fueros_reform_option_will_be_less_costly_than_the_last_in_the_short_term,_but_will_be_less_ideal_for_the_legal_structure_going_forwards);;;;;;;;;;;;;
EVTOPTA00035;We still have time.;;;;;;;;;;;;;
EVTNAME00036;The Resolution of the Fueros Debate;;;;;;;;;;;;;
EVTDESC00036;\n\nWith_one_of_several_potential_solutions_finally_pushed_forwards,_regardless_of_the_consequences,_the_Fueros_Debate_has_finally_been_resolved._With_this_accomplished,_the_debate_has_ended.;;;;;;;;;;;;;
EVTOPTA00036;Finally, peace.;;;;;;;;;;;;;
EVTNAME00037;The Papacy Under Threat;;;;;;;;;;;;;
EVTDESC00037;\n\nIn_the_height_of_Spanish_supremacy_in_western_Europe,_it_maintained_itself_as_the_predominant_defender_of_Catholic_interests_across_the_European_continent,_a_sentiment_that_the_traditionalist_Carlists_share_greatly._In_the_wake_of_Italian_unification,_the_Holy_See_has_found_itself_greatly_reduced,_and_indeed_all_but_completely_removed_from_the_landscape_of_European_politics._While_Italy_assures_Europe_that_the_religious_authority_of_the_Pope_has_in_no_way_been_diminished,_this_nationalistic_order_exists_at_potentially_great_detriment_to_the_moral_and_traditional_fabric_of_society,_and_must_be_dealt_with_swiftly_if_it_is_to_be_rectified.;;;;;;;;;;;;;
EVTOPTA00037;We must act immediately! §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTB00037;Who cares about the Pope?;;;;;;;;;;;;;
EVTNAME00038;The Ecclesiastical War - Spanish Victory;;;;;;;;;;;;;
EVTDESC00038;\n\nAs_the_guns_settle_in_the_Mediterranean,_the_Carlist_forces_have_come_out_as_clearly_triumphant_in_the_struggle_over_the_soul_of_Catholic_Europe._As_such,_we_now_have_the_option_of_dictating_terms_from_a_favorable_position._Should_we_so_choose,_we_can_simply_restore_the_Pope_to_his_distinguished_position_on_the_peninsula,_though_this_has_been_criticized_as_a_far_from_permanent_solution,_as_Italy_could_simply_recover_it_later._Alternatively,_we_could_enforce_the_Pope_as_the_de_facto_head_of_the_Italian_nation_itself,_whilst_claiming_the_islands_of_Sardinia_and_Sicily_to_ensure_that_this_treaty_can_be_enforced._Still_more_particularly_militaristic_advisors_suggest_that_Italy_be_partitioned_in_its_entirety,_with_the_Pope_being_placed_in_charge_of_all_his_traditional_holdings,_whilst_we_ourselves_lay_claim_to_the_rest_of_the_peninsula_in_the_south.;;;;;;;;;;;;;
EVTOPTA00038;We shall only restore what belongs rightfully to the church. §GLose 3 infamy§W;;;;;;;;;;;;;
EVTOPTB00038;We shall place Italy itself under Papal administration. §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTC00038;Italy shall be undone. §RGain 15 infamy§W;;;;;;;;;;;;;
EVTNAME00039;Spanish Victory;;;;;;;;;;;;;
EVTDESC00039;\n\nWith_the_conclusion_of_the_Spanish_intervention_in_the_Italian_peninsula,_we_have_been_forced_out_of_the_city_of_Rome_altogether,_and_our_nation_has_been_split_in_two._With_our_nation_no_longer_properly_united,_and_Rome_back_under_Papal_rule,_we_must_now_choose_a_new_capital.;;;;;;;;;;;;;
EVTOPTA00039;Milan is our capital.;;;;;;;;;;;;;
EVTOPTB00039;Ravenna, the ancient capital of Rome.;;;;;;;;;;;;;
EVTOPTC00039;Venice, the city of the republic.;;;;;;;;;;;;;
EVTNAME00040;The Ecclesiastical War - Papal Italy;;;;;;;;;;;;;
EVTDESC00040;\n\nWith_the_Spanish_victory_against_the_Italian_state_secured,_the_Pope_has_been_placed_in_charge_of_the_Italian_peninsula.;;;;;;;;;;;;;
EVTOPTA00040;A holy throne.;;;;;;;;;;;;;
EVTNAME00041;The Ecclesiastical War - Divided Italy;;;;;;;;;;;;;
EVTDESC00041;\n\nIn_the_aftermath_of_our_disastrous_defeat_in_the_Ecclesiastical_War,_Spain_has_seen_fit_to_destroy_the_Italian_nation_in_its_entirety,_breaking_the_southern_half_of_our_nation_away_from_us._In_the_aftermath,_we_are_forced_to_choose_a_new_capital.;;;;;;;;;;;;;
EVTOPTA00041;Milan is our capital.;;;;;;;;;;;;;
EVTOPTB00041;Ravenna, the ancient capital of Rome.;;;;;;;;;;;;;
EVTOPTC00041;Venice, the city of the republic.;;;;;;;;;;;;;
EVTNAME00042;The Ecclesiastical War - Italy Victorious;;;;;;;;;;;;;
EVTDESC00042;\n\nAs_expected,_the_withering_Spanish_kingdom_broke_itself_upon_our_shores,_and_our_troops_now_stand_victorious_against_the_dying_ancien_regime._We_will_claim_what_is_owed_to_us.;;;;;;;;;;;;;
EVTOPTA00042;We take what is owed us.;;;;;;;;;;;;;
EVTNAME00043;The Sacrilege Controversy;;;;;;;;;;;;;
EVTDESC00043;\n\nIn_the_1820s,_under_a_royaliste_supermajority,_the_Sacrilege_laws_were_passed,_rendering_the_acts_of_blasphemy_and_sacrilege_illegal,_under_penalty_of_anything_from_forced_labor_to_death._This_highly_controversial_law_has_rarely_been_enforced,_but_has_remained_a_prominent_source_of_criticism_against_the_highly_religious_government_in_Paris._This_controversy_has_recently_been_reignited_with_the_case_of_a_known_liberal_agitator,_an_atheist,_who_has_stolen_several_items_from_the_local_diocese,_defaced_them,_then_later_returned_them_in_a_form_of_protest_against_the_government._According_to_the_law,_he_is_meant_to_be_executed,_although_this_will_undoubtedly_anger_the_liberal_population._To_refuse_to_enforce_the_law_in_this_case_will_in_turn_undermine_its_legitimacy._What_shall_we_do?;;;;;;;;;;;;;
EVTOPTA00043;Enforce the law.;;;;;;;;;;;;;
EVTOPTB00043;Let it slide.;;;;;;;;;;;;;
EVTNAME00044;Intervention in Belgium?;;;;;;;;;;;;;
EVTDESC00044;\n\nIn_the_aftermath_of_the_Napoleonic_Wars,_France_was_forced_to_cede_the_region_of_Belgium_to_the_Netherlands,_in_order_to_turn_the_latter_into_a_proper_balancing_power_against_potentially_renewed_French_expansionism._These_culturally_French_and_religiously_Catholic_lands_quickly_began_to_chafe_under_Dutch_rule,_and_have_now_risen_in_revolt_against_their_prior_overlords._With_their_control_quickly_slipping,_the_opportunity_has_come_for_us_to_make_an_offer:_we_restore_order_to_Belgium,_and_in_return_Wallonia_is_returned_to_French_rule,_while_Flanders_is_restored_to_the_Netherlands,_a_deal_the_beleaguered_Dutch_are_quite_likely_to_accept.;;;;;;;;;;;;;
EVTOPTA00044;Send the offer. §RGain 5 infamy§!;;;;;;;;;;;;;
EVTOPTB00044;Wallonia is lost.;;;;;;;;;;;;;
EVTNAME00045;Intervention in Belgium?;;;;;;;;;;;;;
EVTDESC00045;\n\nIn_the_midst_of_our_catastrophic_civil_war,_an_offer_has_come_by_the_French,_opportunistically_seeking_the_return_of_its_lost_Belgian_territories._Should_we_accept_this_offer,_the_French_will_doubtlessly_restore_order_to_the_lost_provinces,_but_it_will_come_at_a_great_cost,_that_of_Wallonia.;;;;;;;;;;;;;
EVTOPTA00045;We have little choice, accept the French offer.;;;;;;;;;;;;;
EVTOPTB00045;The cost is too high.;;;;;;;;;;;;;
EVTNAME00046;The Dutch Accept;;;;;;;;;;;;;
EVTDESC00046;\n\nThe_Dutch_have_wisely_accepted_our_offer_to_intervene_in_the_Belgian_crisis._Let_us_waste_no_further_time.;;;;;;;;;;;;;
EVTOPTA00046;Finally.;;;;;;;;;;;;;
EVTNAME00047;The Dutch Refuse;;;;;;;;;;;;;
